record_id,hoist_load,crowd_vib,drive_temp,cable_tension,is_deviation
1,0.554819,0.454098,0.535302,0.634098,0
2,0.717587,0.664255,0.740805,0.761033,1
3,0.300097,0.417814,0.302008,0.268119,1
4,0.036102,0.170375,0.087917,0.098865,1
5,0.286178,0.402894,0.291212,0.321785,1
6,0.145037,0.227975,0.136043,0.166587,1
7,0.537219,0.456923,0.455289,0.527849,0
8,0.305026,0.262187,0.325999,0.319195,0
9,0.779272,0.560394,0.695712,0.741081,0
10,0.193475,0.179350,0.189038,0.197938,0
11,0.033816,0.097672,0.093926,0.060903,0
12,0.336850,0.371639,0.323718,0.316841,1
13,0.382873,0.351244,0.342501,0.396273,0
14,0.249810,0.309246,0.284424,0.305634,1
15,0.586868,0.583641,0.606017,0.598452,1
16,0.876996,0.621242,0.800968,0.880922,0
17,0.718728,0.714977,0.693070,0.744402,1
18,0.581652,0.680206,0.627947,0.575001,1
19,0.046027,0.168716,0.047958,0.118693,1
20,0.302354,0.270971,0.246955,0.295687,0
21,0.424017,0.425286,0.389726,0.490973,1
22,0.135539,0.242023,0.106037,0.180995,0
23,0.564583,0.234438,0.478562,0.614693,1
24,0.101805,0.000000,0.046610,0.098104,1
25,0.233004,0.192717,0.208400,0.209484,0
26,0.759181,0.554040,0.643474,0.755781,0
27,0.375205,0.393936,0.393194,0.421836,0
28,0.297890,0.237345,0.299989,0.309047,0
29,0.454082,0.552210,0.455064,0.515850,1
30,0.109999,0.306554,0.114468,0.169074,1
31,0.585975,0.394914,0.556321,0.610515,0
32,0.502845,0.482656,0.412029,0.507711,0
33,0.984096,0.648535,0.885474,0.945677,0
34,0.156703,0.131576,0.161131,0.171902,1
35,0.203291,0.192682,0.180939,0.262422,0
36,0.925745,0.547991,0.808842,0.905233,0
37,0.547913,0.242507,0.409358,0.507996,1
38,0.135148,0.159779,0.156969,0.228008,0
39,0.866397,0.821091,0.819092,0.851714,1
40,0.049045,0.098808,0.045509,0.078596,0
41,0.171473,0.071403,0.078514,0.199158,1
42,0.488484,0.392055,0.523107,0.431291,0
43,0.479277,0.408049,0.453214,0.504197,0
44,0.191895,0.140392,0.174203,0.228029,1
45,0.662536,0.663708,0.612606,0.677391,1
46,0.425209,0.235472,0.347488,0.448437,0
47,0.623762,0.687773,0.626639,0.609248,1
48,0.818538,0.757590,0.756570,0.836888,1
49,0.765742,0.635512,0.727018,0.783511,1
50,0.398867,0.250128,0.384975,0.407105,0
51,0.570572,0.387315,0.532632,0.569871,0
52,0.333997,0.335541,0.330267,0.347116,0
53,0.941487,0.553777,0.846872,0.951840,0
54,0.504857,0.496541,0.457643,0.486659,1
55,0.891877,0.702589,0.792753,0.864178,0
56,0.397505,0.556158,0.412109,0.374977,1
57,0.663220,0.331555,0.560708,0.708670,1
58,0.205571,0.067178,0.166887,0.232597,1
59,0.419248,0.191732,0.279209,0.423450,1
60,0.531696,0.515746,0.482947,0.513607,0
61,0.339312,0.388065,0.299712,0.337099,1
62,0.441543,0.377288,0.380290,0.405675,0
63,0.382880,0.277968,0.390639,0.393741,0
64,0.155215,0.206075,0.163193,0.203988,0
65,0.412946,0.323066,0.501634,0.471117,0
66,0.143613,0.073976,0.080340,0.174241,1
67,0.048245,0.198926,0.010956,0.025538,0
68,0.640528,0.607786,0.679806,0.682706,0
69,0.213558,0.165187,0.200703,0.238262,1
70,0.071447,0.191743,0.064669,0.130867,0
71,0.240421,0.254425,0.197441,0.243665,0
72,0.418693,0.377879,0.406894,0.405679,0
73,0.635896,0.585454,0.542388,0.651970,0
74,0.521235,0.484854,0.435577,0.503503,0
75,0.382537,0.441967,0.381763,0.376195,1
76,0.459926,0.525565,0.426538,0.444475,1
77,0.942167,0.937645,0.942955,0.978315,1
78,0.868386,0.656091,0.811454,0.845198,0
79,0.177161,0.292247,0.187116,0.201467,1
80,0.255373,0.087467,0.208925,0.293782,1
81,0.646844,0.560787,0.583301,0.630567,0
82,0.125579,0.136581,0.108505,0.171287,0
83,0.560024,0.403846,0.498973,0.584861,0
84,0.237403,0.201681,0.188572,0.230008,0
85,0.481886,0.352852,0.447718,0.501181,0
86,0.550483,0.315934,0.424712,0.517883,0
87,0.823913,0.505588,0.727590,0.808925,0
88,0.163615,0.291265,0.156590,0.168596,1
89,0.241677,0.316207,0.218450,0.249355,1
90,0.307640,0.351263,0.311675,0.350172,0
91,0.376196,0.281215,0.354439,0.434500,0
92,0.146498,0.068803,0.094527,0.153266,1
93,0.873647,0.709583,0.829533,0.881194,0
94,0.555890,0.517034,0.557423,0.585817,0
95,0.053327,0.200840,0.165620,0.117159,1
96,0.883506,0.649059,0.809937,0.941414,0
97,0.546364,0.196306,0.443405,0.553483,1
98,0.504381,0.384752,0.506143,0.501819,0
99,0.416300,0.413950,0.385385,0.439268,0
100,0.570102,0.235023,0.534580,0.602762,1
101,0.264185,0.338207,0.222570,0.228893,1
102,0.123498,0.092440,0.135153,0.155529,1
103,0.253954,0.293764,0.284267,0.272548,0
104,0.478237,0.435978,0.445504,0.432311,0
105,0.891323,0.814482,0.891305,0.891964,1
106,0.612052,0.700939,0.537854,0.620130,1
107,0.545170,0.496570,0.522110,0.614173,0
108,0.092715,0.203468,0.078410,0.178203,1
109,0.590120,0.552453,0.562833,0.583489,1
110,0.159598,0.327906,0.184086,0.138718,1
111,0.450009,0.175261,0.335917,0.439341,1
112,0.201862,0.188799,0.145935,0.193828,0
113,0.983471,0.537644,0.847031,0.945289,0
114,0.480875,0.399698,0.446740,0.494850,0
115,0.473413,0.182289,0.341016,0.496001,1
116,0.526605,0.156714,0.424195,0.576515,1
117,0.999491,0.825650,0.952050,0.959086,1
118,0.583698,0.389789,0.487426,0.526820,0
119,0.705920,0.243324,0.659043,0.755709,1
120,0.742054,0.736053,0.760410,0.765384,1
121,0.253071,0.207581,0.243969,0.263456,0
122,0.208477,0.151040,0.146971,0.180250,0
123,0.116879,0.178542,0.096503,0.160285,0
124,0.076333,0.181227,0.026516,0.080105,1
125,0.016971,0.200645,0.040906,0.111778,0
126,0.429241,0.222295,0.412874,0.425026,1
127,0.763247,0.635684,0.723424,0.737496,0
128,0.557651,0.628528,0.543176,0.541270,1
129,0.320531,0.229595,0.339988,0.408360,0
130,0.127646,0.143801,0.160414,0.150468,0
131,0.406796,0.315448,0.346867,0.444010,0
132,0.571630,0.495797,0.525109,0.556828,0
133,0.622816,0.426569,0.575407,0.621951,0
134,0.819447,0.633098,0.749265,0.790640,0
135,0.651633,0.684997,0.644339,0.613737,1
136,0.337100,0.432866,0.350869,0.299402,1
137,0.348047,0.236021,0.322045,0.375683,0
138,0.914113,0.776737,0.811644,0.899416,0
139,0.522238,0.278093,0.422393,0.509288,1
140,0.900602,0.592750,0.815818,0.849053,0
141,0.872975,0.684809,0.859474,0.843417,0
142,0.684600,0.247755,0.640907,0.720163,1
143,0.819586,0.317360,0.703986,0.843052,1
144,0.834891,0.762981,0.830710,0.833804,1
145,0.189133,0.209534,0.204985,0.232791,0
146,0.637787,0.534317,0.583518,0.673015,0
147,0.106643,0.184659,0.182883,0.159596,0
148,0.188754,0.191657,0.149971,0.277945,0
149,0.206217,0.282316,0.218036,0.231071,0
150,0.678255,0.518715,0.686706,0.703959,0
151,0.284293,0.276873,0.290498,0.338447,0
152,0.753395,0.367935,0.672764,0.708652,1
153,0.604576,0.530455,0.577888,0.665237,0
154,0.496138,0.242299,0.415680,0.467133,1
155,0.395481,0.523079,0.422009,0.494656,1
156,0.167678,0.269152,0.149460,0.153155,1
157,0.247392,0.219073,0.241857,0.244204,0
158,0.093553,0.181355,0.093493,0.181037,0
159,0.781546,0.371390,0.655897,0.786420,1
160,0.016594,0.131052,0.046032,0.000000,1
161,0.278958,0.243896,0.241745,0.342377,0
162,0.401738,0.361733,0.314470,0.404668,0
163,0.891685,0.603930,0.875589,0.926447,0
164,0.028096,0.060946,0.011223,0.063267,1
165,0.327971,0.357691,0.301189,0.356054,1
166,0.620163,0.421483,0.535814,0.634897,0
167,0.818270,0.879952,0.836328,0.839721,1
168,0.969293,0.969062,1.000000,0.953340,1
169,0.075789,0.075450,0.094984,0.139714,0
170,0.230831,0.179874,0.123208,0.292147,1
171,0.188370,0.259495,0.203083,0.245031,0
172,0.833644,0.553149,0.703883,0.782527,0
173,0.162445,0.126191,0.141600,0.202229,0
174,0.166110,0.091286,0.141676,0.197206,1
175,0.223850,0.243696,0.198558,0.240309,0
176,0.438640,0.322551,0.420594,0.411075,0
177,0.203072,0.175470,0.211268,0.226224,0
178,0.696519,0.518299,0.615119,0.678877,0
179,0.788485,0.843346,0.759979,0.739345,1
180,0.059288,0.156872,0.070982,0.112323,0
181,0.821993,0.749393,0.757644,0.830977,1
182,0.701017,0.518245,0.674502,0.720534,0
183,0.087242,0.178235,0.129215,0.072555,1
184,0.088163,0.204672,0.093761,0.123936,1
185,0.675905,0.281845,0.504144,0.696993,1
186,0.588179,0.261759,0.532786,0.569861,1
187,0.287680,0.291965,0.283694,0.326025,0
188,0.388183,0.287571,0.364510,0.350324,0
189,0.208562,0.339781,0.202409,0.210762,1
190,0.123031,0.257502,0.149303,0.217599,1
191,0.111839,0.130638,0.091590,0.157987,0
192,0.236572,0.250980,0.231291,0.263446,0
193,0.525519,0.646804,0.486711,0.512556,1
194,0.816472,0.518161,0.745014,0.836210,0
195,0.386159,0.282542,0.306882,0.361958,0
196,0.392849,0.331383,0.322849,0.395109,0
197,0.061693,0.169790,0.077380,0.083678,1
198,0.057152,0.170667,0.099930,0.117489,0
199,0.186276,0.278615,0.196385,0.205242,1
200,0.559801,0.618199,0.576531,0.637942,1
201,0.699384,0.480921,0.659698,0.693525,0
202,0.372455,0.334109,0.374979,0.398070,0
203,0.284955,0.149406,0.228447,0.273576,1
204,0.675672,0.522250,0.659179,0.669178,0
205,0.799794,0.447861,0.708276,0.835815,0
206,0.426608,0.400376,0.411144,0.440046,1
207,0.113665,0.097241,0.096765,0.137452,0
208,0.078428,0.101394,0.090347,0.127330,1
209,0.771803,0.671731,0.730539,0.772958,0
210,0.073708,0.181172,0.130904,0.128198,0
211,0.689899,0.328411,0.540245,0.677923,1
212,0.174763,0.245001,0.225019,0.202857,0
213,1.000000,0.685164,0.878660,0.982322,0
214,0.753919,0.464148,0.653163,0.724626,0
215,0.169442,0.143983,0.057848,0.223214,1
216,0.071932,0.083609,0.068240,0.110967,0
217,0.610398,0.522545,0.548441,0.630893,0
218,0.139963,0.273731,0.158024,0.115737,1
219,0.225964,0.327038,0.234784,0.238855,1
220,0.369782,0.283271,0.290305,0.409370,0
221,0.355853,0.164150,0.274985,0.348293,1
222,0.519283,0.595968,0.537787,0.567119,1
223,0.855098,0.972653,0.864511,0.881579,1
224,0.289553,0.227679,0.193528,0.244658,0
225,0.145408,0.238291,0.093709,0.143618,1
226,0.788306,0.381934,0.681977,0.822716,1
227,0.610548,0.471739,0.626401,0.631364,0
228,0.392799,0.226941,0.255307,0.410267,0
229,0.603750,0.700970,0.581106,0.623316,1
230,0.734491,0.568299,0.676844,0.722129,0
231,0.584812,0.387900,0.581125,0.660955,0
232,0.512891,0.321187,0.451678,0.530234,0
233,0.234609,0.238438,0.209468,0.300291,0
234,0.771713,0.804719,0.783157,0.773388,1
235,0.497370,0.370674,0.479384,0.514918,0
236,0.461276,0.326379,0.355978,0.492139,0
237,0.539735,0.421105,0.486893,0.535218,0
238,0.082278,0.242987,0.085463,0.099879,1
239,0.088386,0.125778,0.125495,0.103856,0
240,0.558061,0.573601,0.581720,0.596501,1
241,0.246082,0.219772,0.250128,0.285615,0
242,0.761880,0.593090,0.723790,0.744426,0
243,0.437531,0.355619,0.387525,0.444814,0
244,0.304097,0.296257,0.319361,0.317700,0
245,0.936744,0.910166,0.948074,0.912459,1
246,0.641687,0.491645,0.633257,0.707759,0
247,0.855296,0.505406,0.759833,0.851715,0
248,0.519511,0.409627,0.563578,0.526592,0
249,0.315686,0.302989,0.308511,0.411533,0
250,0.132958,0.285848,0.168577,0.172161,1
251,0.153565,0.164882,0.192312,0.169396,0
252,0.749398,0.662982,0.690037,0.782464,0
253,0.247714,0.250337,0.208016,0.285955,0
254,0.469296,0.249297,0.389456,0.542757,1
255,0.941176,0.776463,0.814899,0.905591,0
256,0.396937,0.218172,0.300565,0.383615,1
257,0.842639,0.558688,0.684745,0.830864,0
